Stock Name	Symbol
EMS Ltd	EMSLIMITED
Electrosteel Castings Limited	ELECTCAST
Butterfly Gandhimathi Appliances Limited	BUTTERFLY
Regaal Resources Ltd	REGAAL
Denta Water & Infra Solutions Ltd	DENTA
Spml Infra Limited	SPMLINFRA
NIBE Ltd	NIBE
Roto Pumps Ltd	ROTO
Stove Kraft Ltd	STOVEKRAFT
Ceinsys Tech Ltd	CEINSYS
Apollo Pipes Ltd	APOLLOPIPE
Indian Hume Pipe Company Limited	INDIANHUME
Jai Balaji Industries Limited	JAIBALAJI
Venus Remedies Limited	VENUSREM
Jain Irrigation Systems Limited	JISLJALEQS
AWFIS Space Solutions Ltd	AWFIS
Chemfab Alkalis Ltd	CHEMFAB
Enviro Infra Engineers Ltd	EIEL
Indiabulls Limited	IBULLSLTD
Shakti Pumps (india) Limited	SHAKTIPUMP
Ig Petrochemicals Limited	IGPL
Mahamaya Steel Industries Limited	MAHASTEEL
Munjal Auto Industries Limited	MUNJALAU
Ion Exchange (India) Ltd	IONEXCHANG
Spectrum Electrical Industries Ltd	SPECTRUM
Wework India Management Ltd	WEWORK
Aeroflex Industries Ltd	AEROFLEX
